Study Program,Courses,Description
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Fundamentals of Programming Lab,practical characters calculating formulas implementing quizzes loops loop recursive calls formulas arrays vector matrix calculations vector matrix parameters pointers data arrays strings parameters dynamic memory storage handling stack queue
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Logical Design of Digital Systems,digital circuit design logical algebra karnaugh combinatorial sequential circuits algorithmic minimization cluskey moore algorithm circuits computer memory programmable logig devices testing digital ciruits
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Logical Design of Digital Systems Lab,practical lab simulation analyze memory software tools programmable logic digital circuits tectronix lv
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Mathematics I2,mathematics multidimensional vector curves ir derivatives extrema vectorfields integrals integrals ode laplace fourier pde fourier
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Non-technical Catalog BA 2,technical technical
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Physics,vectors equation linear motion elastic inelastic collision oscillations waves oscillations waves acoustic waves sound intensity sound db scale optics geometrical optics prism lenses mirror snell light imaging relativistic
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Physics Lab,experiment physics thermodynamics optics atomic physics experiment experiment experiment measurement analysis error analysis
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Static and Stationary Fields,physical laws static electric magnetic electrical magnetic faraday maxwell equations integral
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Advanced Circuit Theory,fourier fourier electrical networks behaviour electrical circuits laplace graphical solution complex network analysis network operational amplifiers signal
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Electrical Engineering Lab Part 1,experiments transients linear networks c networks wheatstone twoports voltage techniques voltage measurements connected resonant circuit
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Fundamentals of Electrical Power Engineering,mathematical technical electrical engineering voltage technologies production net net voltage technologies technologies iii circuits iv distribution network vi devices electrical networks vii network security
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Introduction to Materials,macroscopic microscopic atoms chemical spatial atoms defects atomistic macroscopic behaviour atomistic electrical conductivity metals semiconductors polymers dielectric magnetic
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Mathematics E3,fourier integral fourier laplace differential equations differential equations linear differential equations solutions linear differential equations holomorphic analytic complex integrals cauchy laurent isolated singularities residue calculation integrals residue inverse laplace
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Object-oriented Programming,programming oop implementations programming software behaviour encapsulation setter getter modularity hierarchy polymorphism protection constructors destructors dynamic memory allocation operators static dynamic virtual virtual handling generic programming
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Object-oriented Programming Lab,practical programming homeworks handling data files hierarchies dynamic heap
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Theory of Linear Systems,linear signals dirac delta linear impulse computation signal integral fourier laplace frequency hilbert fourier linear discrete
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Communications Engineering,analog communication modulation modulation frequency modulation conseqeuntly digital modulation amplitude freqeuncy keying quadrature continous keying
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Computer Based Engineering Mathematics,computer engineering mathematics designed solve engineering mathematics softwares matlab linear equations lu decomposition cholesky factorization accuracy solutions iterative solution gauss seidel jacobi linear curve linear equations equation taylor linearization iteration newton jacobian fixpoints bifurcations singularities accuracy solution parameter equation curve linear curve iii differential equations ivp bvp discretization vibration equation heat equation
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Computer Based Engineering Mathematics Lab Project,labs computer engineering mathematics implement
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Control Engineering EIT,dynamic stability synthesis design
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Electrical Engineering Lab Part 2,experiments transients linear networks c networks wheatstone twoports voltage techniques voltage measurements connected resonant circuit
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Electrical Power Systems,design electrical cables transformers generators switchgear mathematical operational issues computer solving circuit network protections engineering
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Electrical Power Systems Lab,lab lab experiments lab controlled measurements supervision assistant measurements
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Internet-Technologie and Web Engineering ,techniques internet web scientific tools web design internet techniques creation web sockets design internet telnet ftp usenet irc dns security dnssec smtp mime imap spam hypertext http session web html xml css client techniques implementation web javascript ajax
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Introduction to Electromagnetic Compatibility,electric electronic electric magnetic external electronic emission electronic radiated radio disturbance phenomena electromagnetic disturbance phenomena electromagnetic emissions electromagnetic emc
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Introduction to Materials Lab,lab electrical conductivity semiconductors piezoelectricity micro macroscopic ferro ferri magnetic frequency complex permittivity thermoelectricity seebeck peltier electric polarization ferroelectric conductivity superconductors
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Solid State Electronics ,quantum physics schr dinger equation heisenberg kronig penney isolators metals semiconductors statistics mechanisms poisson equations semiconductors metal semiconductor junction optical absorption emission laser
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Computer Based Systems,processor architectures computer processors peripheral
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Control Engineering EIT Lab,lab experiments parameter temprature controller design
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Digital Control,discrete discrete
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Economics for Engineers,economics volumes production finance capital budgeting
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Electronic Devices,electronics capacitors devices ccd transistors mosfet junction fet mesfet jfet heterostructure fet hfet bipolar devices diode npn pnp bipolar transistors diodes thyristors dc devices
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Industrial Internship,implement
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Scientific Working,scientific scientific scientific
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Bachelor Thesis (ISE),scientific engineering sciences autonomously scientific
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Bachelor-Thesis Colloquium,discussions
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Fundamentals of Electronic Circuits,circuit design analysis electronic circuits signal linearization signal analysis amplifiers circuits amplifiers amplifier differetial amplifiers impedance converters mirrors stability loop loop nyquist criterion amplitude margin operational amplifiers operational amplifier operational amplifier practical data frequency pole linear signal operational amplifiers inverting noninverting amplifier adder integrator diffentiator voltage nonlinear circuits operational amplifiers comparators schmitt rectifier limiter log circuit multiplier oscillator flip flops multivibrators sinus wave generators functional generators iii digital circuit techniques combinatorial logic logic inverter ttl ecl cmos logic flip flops memories flip flop flip flop memories design hierarchical design distribution
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Project Work,project technical solution team specification project specifications design interface english
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Fundamentals of Computer Engineering 1,computer engineering design analysis hardware boolean algebra minimization coding arithmetic logic binary codes design digital circuits combinational sequential automata microprogramming boolean algebra coding digital circuits design complex microcomputer
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Fundamentals of Computer Engineering 1 Lab,lab computer design digital circuits simulation tools simulate analyze circuits combinatorial sequential digital circuits
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Mathematics I1,calculus predicate calculus mathematical complex complex exponential logarithm exponential trigonometric hyperbolic techniques differentiation tangent derivatives derivatives antiderivatives antiderivatives definite integrals definite integrals techniques indefinite derivative derivative convexity concavity extrema centroids convergence taylor vector matrices determinats linear equations eigenvalues eigenvectors
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Measurement Technology,metrology measurement technology approximation data analysis expression measurement measurement electric quantities dc ac practical analog digital data sensoric techniques measurement electric quantities electric devices
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Mechanics I1,vector kinematics geometry motion dynamics motion kinematics dynamics particle motion
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Network Analysis,analysis linear electric networks frame linear laws electric networks analysis electric networks circuits complex network electrically transformations delta transformation transformation complex transformation complex quantities electric dc ac circuits network analysis magnetic circuits thermal circuits
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Logical Design of Digital Systems,digital circuit design logical algebra karnaugh combinatorial sequential circuits algorithmic minimization cluskey moore algorithm circuits computer memory programmable logig devices testing digital ciruits
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Logical Design of Digital Systems Lab,practical lab simulation analyze memory software tools programmable logic digital circuits tectronix lv
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Mathematics I2,mathematics multidimensional vector curves ir derivatives extrema vectorfields integrals integrals ode laplace fourier pde fourier
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Physics,vectors equation linear motion elastic inelastic collision oscillations waves oscillations waves acoustic waves sound intensity sound db scale optics geometrical optics prism lenses mirror snell light imaging relativistic
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Physics Lab,experiment physics thermodynamics optics atomic physics experiment experiment experiment measurement analysis error analysis
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Procedural Programming,techniques modular programs algorithms procedural implementation algorithmic implementations programming algorithms design algorithm algorithmic solution atomic data formatted data pointers dynamic memory allocation memory dynamic data lists stacks queues sorting preprocessor compiler lab implementing practical programming
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Static and Stationary Fields,physical laws static electric magnetic electrical magnetic faraday maxwell equations integral
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Advanced Circuit Theory,fourier fourier electrical networks behaviour electrical circuits laplace graphical solution complex network analysis network operational amplifiers signal
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Fundamentals of Electrical Power Engineering,mathematical technical electrical engineering voltage technologies production net net voltage technologies technologies iii circuits iv distribution network vi devices electrical networks vii network security
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Introduction to Materials,macroscopic microscopic atoms chemical spatial atoms defects atomistic macroscopic behaviour atomistic electrical conductivity metals semiconductors polymers dielectric magnetic
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Mathematics E3,fourier integral fourier laplace differential equations differential equations linear differential equations solutions linear differential equations holomorphic analytic complex integrals cauchy laurent isolated singularities residue calculation integrals residue inverse laplace
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Object-oriented Programming,programming oop implementations programming software behaviour encapsulation setter getter modularity hierarchy polymorphism protection constructors destructors dynamic memory allocation operators static dynamic virtual virtual handling generic programming
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Object-oriented Programming Lab,practical programming homeworks handling data files hierarchies dynamic heap
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Theory of Linear Systems,linear signals dirac delta linear impulse computation signal integral fourier laplace frequency hilbert fourier linear discrete
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Theory of Linear Systems Lab,practical experiments evaluate measurement data scientific experiments measuring design digital
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Communications Engineering,analog communication modulation modulation frequency modulation conseqeuntly digital modulation amplitude freqeuncy keying quadrature continous keying
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Computer Based Engineering Mathematics,computer engineering mathematics designed solve engineering mathematics softwares matlab linear equations lu decomposition cholesky factorization accuracy solutions iterative solution gauss seidel jacobi linear curve linear equations equation taylor linearization iteration newton jacobian fixpoints bifurcations singularities accuracy solution parameter equation curve linear curve iii differential equations ivp bvp discretization vibration equation heat equation
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Computer Based Engineering Mathematics Lab Project,labs computer engineering mathematics implement
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Control Engineering EIT,dynamic stability synthesis design
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Electrical Engineering Lab Part 1,experiments transients linear networks c networks wheatstone twoports voltage techniques voltage measurements connected resonant circuit
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Electrical Power Systems,design electrical cables transformers generators switchgear mathematical operational issues computer solving circuit network protections engineering
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Introduction to Electromagnetic Compatibility,electric electronic electric magnetic external electronic emission electronic radiated radio disturbance phenomena electromagnetic disturbance phenomena electromagnetic emissions electromagnetic emc
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Solid State Electronics ,quantum physics schr dinger equation heisenberg kronig penney isolators metals semiconductors statistics mechanisms poisson equations semiconductors metal semiconductor junction optical absorption emission laser
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Computer Based Systems,processor architectures computer processors peripheral
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Control Engineering EIT Lab,lab experiments parameter temprature controller design
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Digital Control,discrete discrete
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Economics for Engineers,economics volumes production finance capital budgeting
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Electrical Engineering Lab Part 2,experiments transients linear networks c networks wheatstone twoports voltage techniques voltage measurements connected resonant circuit
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Electronic Devices,electronics capacitors devices ccd transistors mosfet junction fet mesfet jfet heterostructure fet hfet bipolar devices diode npn pnp bipolar transistors diodes thyristors dc devices
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Project Work,project technical solution team specification project specifications design interface english
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Scientific Working,scientific scientific scientific
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Bachelor Thesis (ISE),scientific engineering sciences autonomously scientific
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Bachelor-Thesis Colloquium,discussions
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Fundamentals of Electronic Circuits,circuit design analysis electronic circuits signal linearization signal analysis amplifiers circuits amplifiers amplifier differetial amplifiers impedance converters mirrors stability loop loop nyquist criterion amplitude margin operational amplifiers operational amplifier operational amplifier practical data frequency pole linear signal operational amplifiers inverting noninverting amplifier adder integrator diffentiator voltage nonlinear circuits operational amplifiers comparators schmitt rectifier limiter log circuit multiplier oscillator flip flops multivibrators sinus wave generators functional generators iii digital circuit techniques combinatorial logic logic inverter ttl ecl cmos logic flip flops memories flip flop flip flop memories design hierarchical design distribution
B.Sc. Electrical and Electronic Engineering  PO19 - B-EEE-19,Industrial Internship,implement
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Electric and Magnetic Fields,electrical engineering electric magnetic spatial distributions electrostatics electric magnetostatics faraday
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Fundamentals of Computer Engineering,computer engineering design analysis hardware boolean algebra minimization logic binary codes arithmetic calculations computers equations flip flops design digital circuits combinational sequential automata microprogramming complex microcomputer
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Fundamentals of Computer Engineering Lab,lab computer design digital circuits simulation tool simulate analyze digital circuits design evaluate combinatorial sequential digital circuits
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Introduction to Materials,macroscopic microscopic atoms chemical spatial atoms defects atomistic macroscopic behaviour atomistic electrical conductivity metals semiconductors polymers dielectric magnetic
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Mathematics 1 (for Engineers),differential calculus integral calculus complex infinite differential calculus integral calculus definite integrals integrals
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Electrical Networks,electrical engineering electronic devices resistors capacitors inductors transfomers electrical kirchhoff voltage laws methodologies analyzing dc networks sinusoidal circuit analysis complex ac analysis tool analyzing ac circuits matrix network analysis
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Introduction to Materials Lab,lab electrical conductivity semiconductors piezoelectricity micro macroscopic ferro ferri magnetic frequency complex permittivity thermoelectricity seebeck peltier electric polarization ferroelectric conductivity superconductors
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Mathematics 2 (for Engineers),tools dimensional vector calculus linear equations matrices determinants derivatives techniques computation curvilinear integrals integrals probability vector calculus linear equations matrices determinants eigenvalues eigenvectors curves differential calculus taylor formula extrema integrals integrals parameters integrals probability
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Physics for Engineers Lab,experiment physics mechanics thermodynamics optics experiment experiment experiment measurement analysis error analysis
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Procedural Programming,techniques modular programs algorithms procedural implementation algorithmic implementations programming algorithms design algorithm algorithmic solution atomic data formatted data pointers dynamic memory allocation memory dynamic data lists stacks queues sorting preprocessor compiler lab implementing practical programming
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Solid State Electronics ,quantum physics schr dinger equation heisenberg kronig penney isolators metals semiconductors statistics mechanisms poisson equations semiconductors metal semiconductor junction optical absorption emission laser
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Electrical Engineering Lab Part 1,experiments transients linear networks c networks wheatstone twoports voltage techniques voltage measurements connected resonant circuit
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Electrical Measurement Technology,metrology measurement technology analysis statistical data analysis expression measurement measurement electric quantities dc frequency ac division measurement techniques measurement techniques digital measurement techniques practical sensors electrical measurement technique measurement electrical quantities
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Electrical Measurement Technology Lab,measurement techniques laboratory planning analysis experiments practical electrical measurement electrical measurement devices planning realisation analysis experiments regulations digital data pc measurements multimeters frequency counter measurement voltages resistances frequencies programming labview solar cell measurement nonelectrical sensors sensor sensors pc data error analysis static errors errors data bandwidth temperature sensor calibration sensor traceability analysis expression measurement programming labview measurement automation dynamic temperature sensor inclusion signal dynamic behaviour programming labview measurements data analysis data data analysis controlling pc experiments digital measurement technique analog digital converter digital analog converter frequency measurements filter circuits signal data storage data reduction noise reduction curve frequency analysis analog digital remote measurement ip internet automation solar cell
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Electronic Devices,electronics capacitors devices ccd transistors mosfet junction fet mesfet jfet heterostructure fet hfet bipolar devices diode npn pnp bipolar transistors diodes thyristors dc devices
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Fundamentals of Electrical Engineering E3 ,fourier fourier electrical networks behaviour electrical circuits laplace graphical solution complex network analysis locus network operational amplifiers signal
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Fundamentals of Electrical Power Engineering,mathematical technical electrical engineering voltage technologies production net net voltage technologies technologies iii circuits iv distribution network vi devices electrical networks vii network security
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Mathematics E3,fourier integral fourier laplace differential equations differential equations linear differential equations solutions linear differential equations holomorphic analytic complex integrals cauchy laurent isolated singularities residue calculation integrals residue inverse laplace
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Theory of Linear Systems,linear signals dirac delta linear impulse computation signal integral fourier laplace frequency hilbert fourier linear discrete
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Theory of Linear Systems Lab,practical experiments evaluate measurement data scientific experiments measuring design digital
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Computer Based Engineering Mathematics,ingenieurmathematik numerical mathematics electrical engineering technology interpolation approximation polynomials curves solution linear equations solution nonlinear equations numerical differentiation numerical numerical solution differential equations
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Computer-based Engineering Mathematics Project Lab ,ingenieurmathematik numerical mathematics electrical engineering technology matrix numerical numerical solution differential equations integral simulation electrical engineering technology computer engineering mathematics project lab mathematical tool matlab syntax matlab numerical calculations matlab
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Control Engineering EIT,dynamic stability synthesis design
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Electrical Engineering Lab Part 2,experiments transients linear networks c networks wheatstone twoports voltage techniques voltage measurements connected resonant circuit
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Electrical Power Systems,design electrical cables transformers generators switchgear mathematical operational issues computer solving circuit network protections engineering
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Electrical Power Systems Lab,lab lab experiments lab controlled measurements supervision assistant measurements
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Fundamentals of Electronic Circuits,circuit design analysis electronic circuits signal linearization signal analysis amplifiers circuits amplifiers amplifier differetial amplifiers impedance converters mirrors stability loop loop nyquist criterion amplitude margin operational amplifiers operational amplifier operational amplifier practical data frequency pole linear signal operational amplifiers inverting noninverting amplifier adder integrator diffentiator voltage nonlinear circuits operational amplifiers comparators schmitt rectifier limiter log circuit multiplier oscillator flip flops multivibrators sinus wave generators functional generators iii digital circuit techniques combinatorial logic logic inverter ttl ecl cmos logic flip flops memories flip flop flip flop memories design hierarchical design distribution
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Internet-Technologie and Web Engineering ,techniques internet web scientific tools web design internet techniques creation web sockets design internet telnet ftp usenet irc dns security dnssec smtp mime imap spam hypertext http session web html xml css client techniques implementation web javascript ajax
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Microwave and RF-Technology,radio frequency engineering antennas circuits analyzing communication circuits radio frequency microwave distributed connected networks linear circuits impedance transformers reactive frequency versatile microwave circuits circuit waves impedance coefficient impedance transformation circuits analyzed matrix port voltage waves network ports practically analyzed circuits amplifiers noise stability impedance transistor circuit lab experiments moule
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Bachelor Project EIT,technical team supervision project applicable specification interface implementation german english
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Computer Based Systems,processor architectures computer processors peripheral
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Computer Based Systems Lab,experiment microcontroller microcontroller functionality practical experiments handling programming
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Control Engineering EIT Lab,lab experiments parameter temprature controller design
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Digital Control,discrete discrete
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Electrical Machines,electrical machines electrical technology engineer machines transformers dc machines synchronous machines machines generator plants grid machines electronics frequency converter asynchronous machines machines calculation machines differential equations networks phasor curves heyland ossana curve synchronous generator
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Electronics and RF Technology Lab,lab microwave engineering electronics microwave lab experiments theoretical lab electronics experiments schottky diode capacitance behaviour bipolar transistors dc voltage transistors technology hochfrequenztechnik experiments theoretical mrft
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Optoelectronics,optoelectronics theoretical technological optoelectronics photonics quantum mechanical light semiconductors interband absorption emission light emission light theoretical optoelectronic photodiodes leds lasers geometrical ray optics optical wave radiometric photometric semiconductor physics photonics
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Optoelectronics Lab,laboratory optoelectronics experiments experiments labs audit experimental experiments stoehr optoelectronic photoelectric optical signal experiments wet bacher leds radiation optical outcoupling laser diodes laser diodes dfb laser laser safety
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Communications Engineering,analog communication modulation modulation frequency modulation conseqeuntly digital modulation amplitude freqeuncy keying quadrature continous keying
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Mobile Communications,mobile communications digital mobile communication mobile communication theoretical digital cellular mobile communication networks mobile communication cellular mobile communications cellular network signal
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Operating Systems and Computer Networks,computer computer networks unix dos memory hierarchy storage cache memories paging segmenting virtual computer communication mechanisms computer networks design networks error probability
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Fundamentals of Computer Engineering,computer engineering design analysis hardware boolean algebra minimization logic binary codes arithmetic calculations computers equations flip flops design digital circuits combinational sequential automata microprogramming complex microcomputer
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Fundamentals of Computer Engineering Lab,lab computer design digital circuits simulation tool simulate analyze digital circuits design evaluate combinatorial sequential digital circuits
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Introduction to Materials,macroscopic microscopic atoms chemical spatial atoms defects atomistic macroscopic behaviour atomistic electrical conductivity metals semiconductors polymers dielectric magnetic
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Mathematics 1 (for Engineers),differential calculus integral calculus complex infinite differential calculus integral calculus definite integrals integrals
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Electrical Networks,electrical engineering electronic devices resistors capacitors inductors transfomers electrical kirchhoff voltage laws methodologies analyzing dc networks sinusoidal circuit analysis complex ac analysis tool analyzing ac circuits matrix network analysis
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Mathematics 2 (for Engineers),tools dimensional vector calculus linear equations matrices determinants derivatives techniques computation curvilinear integrals integrals probability vector calculus linear equations matrices determinants eigenvalues eigenvectors curves differential calculus taylor formula extrema integrals integrals parameters integrals probability
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Physics for Engineers Lab,experiment physics mechanics thermodynamics optics experiment experiment experiment measurement analysis error analysis
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Procedural Programming,techniques modular programs algorithms procedural implementation algorithmic implementations programming algorithms design algorithm algorithmic solution atomic data formatted data pointers dynamic memory allocation memory dynamic data lists stacks queues sorting preprocessor compiler lab implementing practical programming
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Solid State Electronics ,quantum physics schr dinger equation heisenberg kronig penney isolators metals semiconductors statistics mechanisms poisson equations semiconductors metal semiconductor junction optical absorption emission laser
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Electric and Magnetic Fields,electrical engineering electric magnetic spatial distributions electrostatics electric magnetostatics faraday
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Electronic Devices,electronics capacitors devices ccd transistors mosfet junction fet mesfet jfet heterostructure fet hfet bipolar devices diode npn pnp bipolar transistors diodes thyristors dc devices
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Fundamentals of Electrical Power Engineering,mathematical technical electrical engineering voltage technologies production net net voltage technologies technologies iii circuits iv distribution network vi devices electrical networks vii network security
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Mathematics E3,fourier integral fourier laplace differential equations differential equations linear differential equations solutions linear differential equations holomorphic analytic complex integrals cauchy laurent isolated singularities residue calculation integrals residue inverse laplace
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Theory of Linear Systems,linear signals dirac delta linear impulse computation signal integral fourier laplace frequency hilbert fourier linear discrete
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Theory of Linear Systems Lab,practical experiments evaluate measurement data scientific experiments measuring design digital
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Communications Engineering,analog communication modulation modulation frequency modulation conseqeuntly digital modulation amplitude freqeuncy keying quadrature continous keying
B.Sc. Electrical Engineering and Information Technology  PO19 - B-EIT-19,Control Engineering EIT,dynamic stability synthesis design
